Research Title,Author,Abstract,University (Abbreviation),Campus
Implementation of a Bit Permutation-based Advanced Encryption Standard for Securing Text and Image files,"Gamido, Heidilyn V.","The paper proposes a modification of the Advanced Encryption Standard (AES) to address its high computational requirement steaming from the complex mathematical operations in the MixColumns Transformation which makes the encryption process slow. Bit Permutation was used instead of the MixColumns Transformation since the use of bit permutation in an encryption algorithm achieves efficiency by providing minimum encryption time and memory requirement. Results of the study showed that the modified AES algorithmexhibited faster encryption by 18.47% and faster decryption by 18.77% for text files. The modified AES algorithm also resulted to 16.53% higher avalanche effect compared with the standard AES thus improving the security performance. Application of the modified AES in encrypting images in Cipher Block Chaining mode showed that the modified algorithm also exhibited 16.88% faster encryption and 11.96% decryption compared with the standard AES. Likewise, modifying the algorithm achieved the ideal result in thehistogram analysis, information entropy, the correlation coefficient of adjacent pixelsto resist statistical attack. The ideal value in number of pixels change rate and unified average change intensity were also achieved making the modified algorithm resistant to differential attack. These results show that modifying AES by using bit permutation to replace MixColumns Transformation was able to address the high computational requirement of the algorithm resulting in a faster and more secure encryption algorithm for text files and images.",TSU,San isidro
Evidence of Transformative Teaching Extracted from the Reflection Logs of Pre-service Teachers using Butin’s Cultural Lens,"Mendoza, Jasper Jay N.","This study aimed to analyze the Music, Arts, Physical Education and Health (MAPEH) pre-service teachers’ reflection logs using cultural lens of Butin’s model. Using the critical social design, this study investigated transformative teaching from 21 MAPEH pre-service teachers. The pre-service teachers were selected using maximum variation sampling method. Data were gathered from their written reflection logs in response to the questions crafted by the researcher. Findings revealed that pre-service teachers put premium to cultural competency and considered diversity in the educative process. Pre-service teachers have developed appreciation of student diversity by helping them understand and appreciate their uniqueness through meaningful connection with them. They even discussed with them issues beyond the classroom including personal problems and emotional concerns. In addition to this, MAPEH curriculum touches on the personal lives of students. Music and Arts depict culture, tradition, and beliefs of various groups. This study is based on the premise that MAPEH is best taught if teachers welcome cultural diversity, make learning forceful by touching on the personal experiences of the learners, and enhance the skills of students to make them useful in improving their lives and their community. These attributes require the adoption of transformative teaching and learning.",TSU,Lucinda
Pre-service Teachers’ Reflection Logs: Pieces of Evidence of Transformative Teaching and Emancipation,"Mendoza, Jasper Jay N.","With critical social design put into practice, this study described and investigated transformative teaching and emancipation pieces of evidence from 21 Music, Arts, Physical Education and Health (MAPEH) pre-service teachers. The participants’ reflection logs were analyzed, with Butin’s technical lens framework as a guide. Findings revealed that the pre-service teachers encountered challenges with the students, parents, cooperating teachers and principals, which turned out to be opportunities for pre-service teachers to exercise their decision-making skills. These participants’ springboard to transformative learning and emancipation, henceforth, were the teaching strategies, principles and learning activities they acquired from their instructors. Pre-service teachers realized they could explore epistemic change as a result of reflection and contemplation.",TSU,Lucinda
The Mediating Effects of Ego Resilience on the Relationship between Professionalism Perception and Technostress of Early Childhood Teachers,"Lee, Jiyoung","The purpose of this study was to provide information regarding 
 the effects of professionalism perception and ego resilience, the 
 dependent variable and mediator respectively, on the technostress of 
 early childhood teachers. The research subjects were 200 early childhood 
 teachers teaching at kindergartens or childcare centers in Seoul or 
 Gyeonggi Province. The data were analyzed through a reliability test, 
 descriptive statistics, Pearson correlation, and structural equation
 modelling. Research findings were as follows: First, there were significant 
 differences in professionalism perception by type of institution, teaching 
 experience, education background and age of teachers, differences in 
 technostress by type of institution, teaching experience, age of child in 
 care, and age of teachers; and differences in ego resilience by type of 
 institution and age of child in care. Second, there were negative 
 correlations between professionalism perception and technostress, as 
 with technostress and ego resilience, while there is a positive correlation 
 between professionalism perception and ego resilience. Third, ego 
 resilience has a mediating effect on the relationship between 
 professionalism perception and technostress. The findings suggest that 
 the effect of professionalism perception on technostress can be 
 strengthened further by ego resilience.",TSU,Main
A Meta-Analysis of the Effect of the Bible-Based Programs for Young Children,"Lee, Jiyoung","The purpose of this study is to provide basic data of the effect of Bible-based programs for young children by comparing the overall effect size, the effect size based on independent, dependent and moderator variables of the programs. For this purpose, the effect size of the Bible-based programs was calculated by performing a Test of Homogeneity and applying a Random Effect Model on 14 studies published between 2008 and 2019. As a result, the overall effect size of Bible-based programs for young children was found to be high at 1.62. The effect size, based on dependent variables of the Bible-based programs for young children, was shown in descending order of those having greatest effect: activities using five-senses, Christianity, activities using rhythm speech, puppet play activities, socio-emotional or character activities and picture books. The effect size of independent variables of them was shown in descending order: Christianity, character, socio-emotional or language variable. As for the moderator variables of the Bible-based programs for young children, the effect size of the programs is shown to be high in the following conditions: less than 15 children of group size, less than 30 minute activities and one time experiment per week. Based on the results, insights regarding development of the application of the Bible-based programs for young children were discussed.",TSU,Main
"Methylene blue removal by poly(acrylic acid)-grafted pineapple leaf fiber/
 polyester nonwoven fabric adsorbent and its comparison with removal by
 gamma or electron beam irradiation","Dancel, Gian Carlo;Pomicpic, Janronel;Cabalar, Patrick Jay;Madrid, Jordan","This work aimed to synthesize poly(acrylic acid)-grafted pineapple leaf fiber/polyester nonwoven fabric (PPNWF-g-PAA) through radiation-induced graft polymerization. The synthesized PPNWF-g-PAAs were used as adsorbents for methylene blue (MB) adsorption in aqueous solution. The grafting was performed with a sys_x0002_tematic variation of experimental parameters in order to produce PPNWF-g-PAA with a degree of grafting of at least 150%. Based on the results, the optimum experimental parameters were the following: irradiation with 2.0 MeV of energy, current of 12 mA, 30 kGy of absorbed dose, and grafting with 20% acrylic acid at 40 °C for 3 h. Results of the batch adsorption experiments revealed that PPNWF-g-PAA successfully adsorbed MB from
 aqueous solution with a contact time of about 3 h. The efficiency of MB adsorption was also compared with direct MB degradation through gamma or electron beam irradiation. Results of the irradiation experiments revealed that a minimum of 5 kGy was required in order to achieve complete removal of the MB molecules using direct irradiation which is lower than the absorbed dose requirement for the synthesis of PPNWF-g-PAA. However, the MB removal using the adsorbent does not generate degradation products unlike the MB removal using direct irradiation",TSU,Lucinda
Food Safety Compliance and Challenges of Micro Food Business Operators: Implications to COVID-19 Pandemic,"Milan, Lea B.;Feliciano, Abegail F.;Lusong, Aljon N.","The food safety compliance and challenges of micro–Food Business Operators (FBOs) that could impact COVID-19 are assessed in this study using the descriptive-comparative research design. The findings reveal that the sanitary conditions of utensils and equipment, the sanitary operations and facilities, the monitoring of time and temperatures, and the maintenance of the sanitary conditions in the facility need major improvement to increase food safety compliance and to contribute in mitigating the transmission of COVID-19. Minor 
 improvements are needed in the handwashing facility, the implementation of the water potability program, Sanitation Standard Operating Procedures, personnel disease control, and hygienic practices. Moreover, the lack of technical knowledge and time to manage and continuously improve food safety system are the challenges experienced by the FBOs. These findings are instrumental to the improvement of the food safety practices, formulation of relevant policies, and conceptualization of research in mitigating COVID-19 relevant to food 
 safety.",TSU,San isidro
"Social Network Marketing of Micro, Small and Medium Enterprises in the Province of Tarlac","Abalos, Winston F.","The study aimed to determine the profile of Micro, Small, and Medium Enterprises (MSMEs) the participation of owners and consumers in social networking site (SNS) its role in representation, customer engagement, and lead conversion and the challenges encountered by owners in using SNS. A self-made questionnaire was administered to 268 randomly selected MSME owners and 405 consumers. Results showed that the MSME owners in Tarlac sold items like shirts and bags with an initial investment of P10, 001-P 50, 000, with most respondents operating for 6 months to less than two years. Both consumers and owners prefer Facebook as their SNS as they have been using it for one to three years. Significantly, both show agreement with security concerns posed by the use of SNS. The consumers reported that they mainly visit sites to inquire prices and to shop online while the owners used it to improve marketing. The owners reported that they agree on its benefits on improving social media representation, customer engagement and lead conversion. Despite these benefits, the MSME identified problems in their use of SNS mostly, the amount of time needed in managing the 
 pages and the risk of inappropriate behavior such as harassment.",TSU,Main
Readiness and Willingness of the Enterprises in Accepting Work Immersion Activities of Senior High School Students,"Budomo, Xerxes M.","This study determined and described the readiness and willingness of the enterprises in accepting work immersion (WI) activities of senior high school (SHS) students.
 Specifically, it described the needed WI requirements of SHS in terms of classification
 and skills needed, the readiness of enterprises in compliance with the Department of
 Education’s requirements in terms of the facilities, alignment, proximity, legal 
 requirements, scope of operation and corporate social responsibility. Also, it determined the willingness of enterprises in terms of the number of interns needed, availability of slots for internships, students’ qualifications and gender preferences. Problems in relation to the WI activities of SHS students were also identified. Furthermore, a plan of action to address the anticipated problem was proposed. The descriptive research method,purposive sampling and questionnaire- checklist as instrument were utilized in this study. Majority of the enterprises are ready in accepting WI activities of SHS students. In terms of willingness, majority of the enterprises do not need interns but willing in accepting WI of SHS students. The following were recommended: conduct orientation or seminar in the enterprises about WI; search for other potential enterprises partners; partner with State Universities and Colleges; and the use of simulation activities inside the school.",TSU,Main
The Effects of Childcare Teachers’ Interpersonal Stress and Teacher-Child Interaction on CCTV Perception,"Lee, Jiyoung","CCTV perception is recognized as one of the major variables in relation to child abuse child care teachers. Therefore, this study was performed to examine how interpersonal stress and teacher-child interaction work as predictors of CCTV perception of childcare teachers. The subjects of this study were 177 childcare teachers working in childcare centers in Seoul and Gyeonggi province and collected data were analyzed by SPSS 23.0. The results of this study are as follows. First, interpersonal stress and teacher-child interaction of childcare teachers were negatively correlated with CCTV perception. Second, interpersonal stress had a negative effect on CCTV perception. Third, Teacher-child interaction negatively affected CCTV perception. The results of this study suggest that interpersonal stress and teacher-child interaction should be considered as significant factors in order to positively improve CCTV perception of childcare teachers",TSU,Main
"A Study on Job Satisfaction and Professionalism 
 Perception as Predictors of Childcare 
 Teachers' Intention to Stay","Lee, Jiyoung","The intention to stay of childcare teachers is 
 an important factor to be considered in providing quality 
 childcare services. Against this backdrop, the purpose of 
 this study is to investigate the effect of childcare teacher 
 job satisfaction and professionalism perception on a 
 teacher’s intention to stay. By examining these variables, 
 this study can help enrich existing studies on teacher 
 education program development. The subject of the study 
 was 280 childcare teachers working in care centers located 
 in Seoul and Gyeonggi-do. A survey was conducted from 
 November 3 to November 25, 2019. 245 collected data 
 were analyzed using SPSS 23.0 by performing reliability 
 coefficient calculation, technical statistics, Pearson 
 correlation analysis, and hierarchical regression analysis. 
 The results of this study are two-fold. First, job satisfaction 
 is positively correlated with professionalism perception 
 and the intention to stay, as professionalism perception is 
 likewise positively correlated with the intention to stay. 
 Second, job satisfaction and professionalism perception 
 have a positive effect on the teachers’ intention to stay. 
 Based on these results, this study concludes that the school 
 administration and other stakeholders who are concerned 
 with teacher education development must consider job 
 satisfaction and professionalism in order to increase the 
 intention of childcare teachers to stay.",TSU,Main
"Capacitating Local Communities in Establishing and Managing Coral Reef Marine Protected Areas (MPAs)
 
 Project Components
 1. MPA Management Capability Building for Fisherfolk Association
 2. Fisheries Resource Profiling
 3. Coral Reef Marine Protected Areas Establishment (Phase 1)","Labnao, Rosanmi C.","The University of Antique Tario-Lim Memorial Campus bearing the name as ""the blue university"" focuses on the development of fisheries industry through producing skilled students and capacitiating coastal communities in sustainably managing their resources. The university has pool of educators who can practically cater the needs of the MLGU and the communities. UA-TLMC, as stakeholder of the Local Government Unit of Tibiao, is doing its part to help respond and give solution to problems on environmental degradation. The Municipality of Tibiao is a low-class municipality based on the Internal Revenue Allocation (IRA) classification of the National Government but has lots of natural resources. The Municipality Local Goverment has the jurisdiction over people and the natural resources however the lack of personnel, knowledge and expertise in dealing with resources at the same time communities and the limted funds, limits environmental development initiatives thus this extension proposal was made.
 In this project, the University of Antique (UA) through the assistance of fisheries lined government agencies will capacitate the local communities in establishing and managing Coral Reef Marine Protected Area (MPA) in Poblacion, Tibiao, Antique and will provide alternative fishing grounds to the marginal fishermen. Conceptualization of this project is based on the needs of the coastal communities and the Local Government Unit (LGU) as well as the human resources and technical capacity of the University of Antique TLMC.",UA,TLMC
Personal Protective Equipment - Improvised Face Shields Production,"Muhat, Wilfredo N.","The improvised face shields shall be made of plastic, thermal insulator, and garter. The raw materials were procured from local businesses. The improvised face shields to be produced by University has certain uniqueness and appeal compared to their commercialization counterparts. The frame shall be made of the thermal insulator shall be cut into 1 foot in length. This is more comfortable compared to the rigid frames found in most face shields. Two pieces of such shall be joined together using double-sided tape to serve as the forehead band for the face shield. The plastic cover shall be also cut in a pattern similar to the face shield. The cut-out will be attached to the thermal insulator to form the face shield. A garter will be inserted to both ends of the face shield and will be sewn manually to keep it in place. The sticker designed with the kasubay logo of UA will be attached in the oiter portion of the forehead band. This logo signifies the resiliency and strength of Antiqueños, a message that is fitting for this pandemic.",UA,Main
Personal Protective Equipment – Medical Cover All Suit Production,"Farparan, Lilian J.","The Medical Cover All Suit shall be made from lightweight and breathable parachutes material garter, and cord. This hooded coverall is designed to offer protection to our front liners during this pandemic. The design of the Personal Protective Equipment-Medical Cover All Suit is the same design that the University has developed after consultation with doctors and nurses in the province. 
 The working space will be designed in such a way that the different stages of work are being followed in an industrialized manner. Out of the 10 hired workers, 6 are assigned as a seamstress, 2 are cutters and 2 will be in charge of finishing touches such as insertion of the chord in the hood, putting garter in the arms, wrists, and ankles of the overall. The raw materials and supplies came from local businesses owners such as JCS dress Shop, Onyx Sales Center, Bandiola Ent. As for the uniqueness of the product, PPEs made by UA are superior compared to their commercial counterpart in terms of quality machine stitches.",UA,Main
Personal Protective Equipment – Face Mask Production,"Claud, Virginia A.","Procurement would start the process followed by the formation of the task force. The workforce will be divided into work areas: cutting, sewing, washing, and quality central. The finished products will be delivered by UA to the recipients using the vehicles of the University.",UA,Main
Manufacture of Non-Medicine Products by UEP,"Cui-Lim, Karina Milagros R.","The people of Northern Samar, with a population of approximately 700,000 people live in and subsists on the different Island towns surrounded by species of palms, like Nypa fruticans Wurmb (Nipa). Until this day, Nipa is an underutilized plant resource since the only use of the nipa leaves is for roofing. The fruit of nipa is still of no economic use to the people of Northern Samar. Nypa fruticans, commonly known as the nipa palm, is a species of palm native to the coastlines and estuarine habitats on the Indian and Pacific Oceans. It is the only palm considered adapted to the mangrove biome. This species is the only member of the genus Nypa and the subfamily Nypoideae, forming monotypic taxa.
 After maturing the fruits are usually pushed off from the infructescence by the developing plumule. They float in tidal water and start growing on a suitable substrate. The radicle is probably aborted and the first root that appears is likely to be the first adventitious root. The seedling is prostate first, but after being attached to the substrate, the plumules become erect and additional adventitious arise from the lower part of the stem. In very young seedlings the leaves are arranged distichously but later they become arranged spirally. At first, up to eight bladeless sheaths develop per plant, followed by the first juvenile foliage leaves 3-6 months after germination. During early growth the stem grows obliquely downwards until it is about 1 m deep in the ground. 
 Nypa fruticans will undergo a fermentation process using yeasts for at least 14 days to extract the bioethanol from it and will be subjected to quality test.",UEP,Main
Addressing Personal Protection Needs of Frontliners and Marginalized Communities in Northern Samar Amidst COVID-19 Crisis,"Salvador, Ronelie C.","The donning of facemasks for protection against viral infection has become a norm for everyone amidst the COVID 19 crisis. However, this means financial encumbrances for most sectors in society, particularly those who have lost their capacity to earn due to quarantine restrictions. These projects will be implemented to mass-produce and distribute facemask for free to frontliners (which includes the security force of the university which man the entry and exit points of the university; the faculty members and staff who are in the skeleton workforce and the general services unit of the University), and the marginalized communities- the students of the university.",UEP,Main
Mass Production of Reusable Antibacterial Face Mask Coated with Nipa Biocomposite,"Cui-Lim, Karina Milagros R.","Over the past few months, the whole world has experienced the need for personal protected equipment (PPE), mostly this is the first time we experienced it in our lives. The need for gloves, sanitary items, social distancing and especially face masks has been important fixtures in our lives. Many of us have experienced shortage to no availability of PPE especially face masks, which lead to numerous facemasks which are ill-fitting and other unsanitary face gear.
 For the past decade, nanoscale science, leading to the development of nanocomposite science and technology. The incorporation of nanoparticles into composite materials has attracted a great deal of attention due to its ability to enhance polymer properties such as thermal, mechanical and antibacterial. Nano filters have excellent interfacial interactions on polymer branches due to their large specific surface area and high surface energy, thus significantly enhancing the properties of nipa palm starch. In addition, the use of Poly (N-vinyl carbazole) (PVK) is considered a viable method for the prevention of infectious diseases through its antibacterial properties.
 The people of Northern Samar, with a population of approximately 700,000 people, live in and subsists on the different island towns surrounded by species of palms like Nypa fruticans Wurmb. Until this day, Nipa is an underutilized plant resource since the only use of the napa leaves is for roofing. The fruit of nipa is still no economic use to the people of Northern Samar. Different palms were studied by the scientific community, in searching for new alternative sources like oil and starch and that oil can be extracted from the palm of nipa. Nipa palm starch is rich in sources of oil and possesses antibacterial properties.",UEP,Main
Classification of Single-Lead Electrocardiograms: TDA Informed Machine Learning,"Ignacio, Paul S.;Uminsky, D;Dunstan, C;Escobar, E;Trujillo, L","Atrial Fibrillation is a heart condition characterized by erratic heart rhythms caused by chaotic propagation of electrical impulses in the atria, leading to numerous health complications. State-of-the-art models employ complex algorithms that extract expert informed features to improve diagnosis. In this note, we demonstrate how topological features can be used to help accurately classify single lead electrocardiograms. Via delay embeddings, we map electrocardiograms onto high-dimensional point-clouds that convert periodic signals to algebraically computable topological signatures. We derive features from persistent signatures, input them to a simple machine learning algorithm, and benchmark its performance against winning entries in the 2017 Physionet Computing in Cardiology Challenge.",UP-Baguio,Baguio
Breaking the Silence : The Use of Color Bars,"Beltran, Jermaine V.","Test patterns or “color bars” as used by engineers in the television broadcasting industry to check the quality of colors a TV station in broadcasting has evolved in usage and meaning online. In 2017, Facebook timelines of TV5 Network, Inc.’s current and former employees were inundated with color bars. The color bars became signifiers and symbols of varied emotions as a visual graphic in the online space. Survey and interview of current and laid-off employees of TV5 were utilized to describe the evolving meaning of transcendence of emotions as displayed by visual graphics in the online space. Raising the questions: 1) Are “color bars” the new symbol of freedom of expression that connote to struggle and resistance against oppressive broadcasting industries in the online space?, 2) Are these “colors bars,” as displayed demonstrates assertion of rights in the offline space?, and, 3) If this visual graphic is the new form of resistance, is the broadcasting industry in the Philippines listening? Findings showed that “color bars” were used as a form of protest of employees to show their emotional state when they learned that they were laid off from the company. The respondents inadvertently presented these “color bars” as signs of grief and solidarity in the online space to display resistance against such company decision. This represented the power resistance and visual communication on meaning expectation and resolutions between and among employees and media organizations.",UP-Baguio,Baguio
The scale effect of economic development and freshwater quality in Nigeria: Environmental pollution of the Lower River Niger basin,"Javier, Dymphna","River Niger is the third-longest river in Africa and the longest river in West Africa. The river basin traverses West and Central African countries, and forms a coastal delta (in southern Nigeria) where it empties into the Atlantic Ocean. The River Niger Basin (RNB) is a crucial asset to development of the West and Central Africa subregions. The RNB ecosystem is currently under heavy degradation of its components due to mutually reinforcing unsustainable socioeconomic development and unregulated urbanization. However, there are limited studies on the pollution of the Lower RNB because of inadequate funding and infrastructure deficit, and existing studies are mainly on the stream tributaries. This paper reviews, for the first time, relevant studies on the Lower RNB and examines the current extent of knowledge regarding the environmental aquatic pollution. We discuss the relevant studies and provide information necessary for management of the basin area.",UP-Baguio,Baguio
Bifurcation analysis of dengue transmission model in Baguio City,"Addawe, Joel","In this study, we formulate a deterministic model for the transmission dynamics of dengue fever in Baguio City, Philippines. We analyzed the existence of the equilibria of the dengue model. We computed and obtained conditions for the existence of the equilibrium states. Stability analysis for the system is carried out for disease free equilibrium. We showed that the system becomes stable under certain conditions of the parameters. A particular parameter is taken and with the use of the Theory of Centre Manifold, the proposed model demonstrates a bifurcation phenomenon. We performed numerical simulation to verify the analytical results",UP-Baguio,Baguio
Parameter optimization of differential evolution algorithm for automatic playlist generation problem,"Addawe, Joel","With the digitalization of music, the number of collection of music increased largely and there is a need to create lists of music that filter the collection according to user preferences, thus giving rise to the Automatic Playlist Generation Problem (APGP). Previous attempts to solve this problem include the use of search and optimization algorithms. If a music database is very large, the algorithm to be used must be able to search the lists thoroughly taking into account the quality of the playlist given a set of user constraints. In this paper we perform an evolutionary meta-heuristic optimization algorithm, Differential Evolution (DE) using different combination of parameter values and select the best performing set when used to solve four standard test functions. Performance of the proposed algorithm is then compared with normal Genetic Algorithm (GA) and a hybrid GA with Tabu Search. Numerical simulations are carried out to show better results from Differential Evolution approach with the optimized parameter values.
 REFERENCES",UP-Baguio,Baguio
Stability and bifurcation analysis of three-species predator-prey model woth monotonic delayed predator response,"Collera, Juancho A.;Balilo, Aldrin","In this paper, we consider delayed three-species predator-prey model with non-monotonic functional response where two predator populations feed on a single prey population. Response function in both predator populations includes a time delay which represents the gestation period of the predator populations. We call a positive equlibrium solution of the form E*S=(x*,y*,y*) as a symmetric equilibrium. The goal of this paper is to determine the effect of the difference in gestation periods of predator populations to the local dynamics of symmetric equilibria. Our results include conditions on the existence of equilibrium solutions, and stability and bifurcations of symmetric equilibria as the gestation periods of predator populations are varied. A numerical bifurcation analysis tool is also used to illustrate our results. Stability switch occurs at a Hopf bifurcation. Moreover, a branch of stable periodic solutions, obtained using numerical continuation, emerges from the Hopf bifurcation. This shows that the predator population with longer gestation period oscillates higher than the predator population with shorter gestation period.",UP-Baguio,Baguio
Dynamics of a delayed Intraguild Predation Model in Harvesting,"Collera, Juancho A.;Balilo, Aldrin","In [1], a delayed three-species intraguild predation (IGP) model was considered. This particular tri-trophic community module includes a predator and its prey which share a common basal resource for their sustenance [3]. Here, it is assumed that in the absence of predation, the growth of the basal resource follows the delayed logistic equation. Without delay time, the IGP model in [1] reduces to the system considered in [7] where it was shown that IGP may induce chaos even if the functional responses are linear. Meanwhile, in [2] the delayed IGP model in [1] was generalized to include harvesting. Under the assumption that the basal resource has some economic value, a constant harvesting term on the basal resource was incorporated. However, both models in [1] and [2] use the delay time as the main parameter. In this research, we studied the delayed IGP model in [1] with the addition of linear harvesting term on each of the three species. The dynamical behavior of this system is examined using the harvesting rates as main parameter. In particular, we give conditions on the existence, stability, and bifurcations of equilibrium solutions of this system. This allows us to better understand the effects of harvesting in terms of the survival or extinction of one or more species in our system. Numerical simulations are carried out to illustrate our results. In fact, we show that the chaotic behavior in [7] unfolds when the harvesting rate parameter is varied.",UP-Baguio,Baguio
An application of seasonal ARIMA models on group commodities to forecast Philippine merchandise exports performance,"Addawe, Rizavel","The increase in the merchandise exports of the country offers information about the Philippines’ trading role within the global economy. Merchandise exports statistics are used to monitor the country’s overall production that is consumed overseas. This paper investigates the comparison between two models obtained by a) clustering the commodity groups into two based on its proportional contribution to the total exports, and b) treating only the total exports. Different seasonal autoregressive integrated moving average (SARIMA) models were then developed for the clustered commodities and for the total exports based on the monthly merchandise exports of the Philippines from 2011 to 2016. The data set used in this study was retrieved from the Philippine Statistics Authority (PSA) which is the central statistical authority in the country responsible for primary data collection. A test for significance of the difference between means at 0.05 level of significance was then performed on the forecasts produced. The result indicates that there is a significant difference between the mean of the forecasts of the two models. Moreover, upon a comparison of the root mean square error (RMSE) and mean absolute error (MAE) of the models, it was found that the models used for the clustered groups outperform the model for the total exports.",UP-Baguio,Baguio
Lumáwig: An Efficient Algorithm for Dimension Zero Bottleneck Distance Computation in Topological Data Analysis,"Ignacio, Paul Samuel;Bulauan, Jay-Anne;Uminsky, David","Stability of persistence diagrams under slight perturbations is a key characteristic behind the validity and growing popularity of topological data analysis in exploring real-world data. Central to this stability is the use of Bottleneck distance which entails matching points between diagrams. Instances of use of this metric in practical studies have, however, been few and sparingly far between because of the computational obstruction, especially in dimension zero where the computational cost explodes with the growth of data size. We present a novel efficient algorithm to compute dimension zero bottleneck distance between two persistent diagrams of a specific kind which runs significantly faster and provides significantly sharper approximates with respect to the output of the original algorithm than any other available algorithm. We bypass the overwhelming matching problem in previous implementations of the bottleneck distance, and prove that the zero dimensional bottleneck distance can be recovered from a very small number of matching cases. Partly in keeping with nomenclature traditions in this area of TDA, we name this algorithm Lumáwig as a nod to a deity in the northern Philippines, where the algorithm was developed. We show that Lumáwig generally enjoys linear complexity as shown by empirical tests. We also present an application that leverages dimension zero persistence diagrams and the bottleneck distance to produce features for classification tasks.",UP-Baguio,Baguio
Uniform exponential stability of a fluid-plate interaction model due to thermal effects,"Peralta, Gilbert","We consider a coupled fluid-thermoelastic plate interaction model. The fluid velocity is modeled by the linearized 3D Navier-Stokes equation while the plate dynamics is described by a thermoelastic Kirchoff system. By eliminating the pressure term, the system is reformulated as an abstract evolution problem and its well-posedness is proved by semigroup methods. The dissipation in the system is due to the diffusion of the fluid and heat components. Uniform stability of the coupled system is established through multipliers and the energy method. The multipliers used for thermoelastic plate models in the literature are modified in accordance to the applicability of a certain Stokes map.",UP-Baguio,Baguio
Energy method for exponential stability of coupled one-dimensional hyperbolic PDE-ODE systems,"Gervy Marie Angeles, Gilbert Peralta","We consider a hyperbolic system of partial differential equations on a bounded interval coupled with ordinary differential equations on both ends. The evolution is governed by linear balance laws, which we treat with semigroup and time-space methods. Our goal is to establish the exponential stability in the natural state space by utilizing the stability with respect to the first-order energy of the system. Derivation of a priori estimates plays a crucial role in obtaining energy and dissipation functionals. The theory is then applied to specific physical models.",UP-Baguio,Baguio
Shape optimization approach for solving the Bernoulli problem by tracking the Neumann data: A Langranian formulation,"Rabago, Julius Fergy T.;Bacani, Jerico B.","The exterior Bernoulli free boundary problem is considered and reformulated into a shape optimization setting wherein the Neumann data is being tracked. The shape differentiability of the cost functional associated with the formulation is studied, and the expression for its shape derivative is established through a Lagrangian formulation coupled with the velocity method. Also, it is illustrated how the computed shape derivative can be combined with the modified H1
  gradient method to obtain an efficient algorithm for the numerical solution of the shape optimization problem",UP-Baguio,Baguio
"Burik: Tattoos of the Ibaloy Mummies in Benguet, North Luzon, Philippines","Salvador-Amores, Analyn V.","The province of Benguet, situated in North Luzon, the Philippines, holds
 a large number of ancient mummified remains, mostly located within the
 municipality of Kabayan. Such bodies are mainly associated to the Ibaloy –
 one of the indigenous groups collectively known as Igorot – and are stored
 in natural rockshelters or caves carved into the stone, inside wooden coffins
 often obtained from hollowed pine tree segments. Recent inspections of some
 of these corpses, carried out in 2002 and 2012, indicated the nature of their
 mummification process as well as some details regarding their bioanthropological features. Although very little information was initially available
 on these bodies, the authors have gathered significant oral information on
  funerary rituals and attitudes towards the ancestors via interviews with the
 local elders, as well as data on the vegetal materials employed and the practice of tattooing. This paper is the first critical evaluation of these mummies
 and demonstrates the uniqueness and preciousness of this biocultural heritage
 now in danger.",UP-Baguio,Baguio
Notion of ASEAN Citizenship,"Elumbre, Adonis Ramy L.","In 2015, the Association of Southeast Asian Nations (ASEAN) was said to have set in motion a regional community with “peace, prosperity, and people” at the core of its transition towards deeper integration. In 2017, it marked its 50th year - a narrative arc in Southeast Asian history that has arguably defined the region’s contemporary period. What then could be the next for the organization? This paper explores one of those ideas that has been floating around about ASEAN’s future in relation to its people-oriented vision. In particular, it enquires into the abstracted and non-legal notion of “ASEAN citizenship” through identification of conjunctures in the development of the organization. While ASEAN’s lack of a legitimating policy on regional citizenship is understandable given its normative frameworks of intergovernmentalism and non-interference, the paper contends that this notion has already been discursively defined and constructively pursued from within the organization. The resulting narratives on regional identity formation and on ideas and institutions that articulate and generate potential elements of regional citizenship seek to capture aspects of this slippery yet lingering presence of “ASEAN citizenship,” and hopefully contribute to the evolving conversations on the nature and future of ASEAN as it enters a new era.",UP-Baguio,Baguio
